seq,payload_bytes,build_ns,sendto_ns,rtt_ns,rx_len,ok
0,512,537,24852,153074,512,1
1,512,259,13259,123889,512,1
2,512,259,6148,109629,512,1
3,512,240,5593,108445,512,1
4,512,222,5519,108334,512,1
5,512,241,5333,108203,512,1
6,512,240,5185,108074,512,1
7,512,222,5148,108389,512,1
8,512,241,5278,109351,512,1
9,512,222,5463,108870,512,1
10,512,241,34129,108908,512,1
11,512,241,6185,109352,512,1
12,512,223,5500,108685,512,1
13,512,241,5426,108593,512,1
14,512,241,5204,109704,512,1
15,512,240,5241,108223,512,1
16,512,240,5445,108334,512,1
17,512,241,5352,108796,512,1
18,512,222,5185,108241,512,1
19,512,241,5481,108445,512,1
20,512,241,5444,108074,512,1
21,512,241,5278,108444,512,1
22,512,240,5278,108482,512,1
23,512,241,5185,107463,512,1
24,512,240,5149,109093,512,1
25,512,241,5222,109722,512,1
26,512,241,5241,108222,512,1
27,512,241,5185,108240,512,1
28,512,240,5352,107963,512,1
29,512,241,5592,109223,512,1
30,512,241,5351,108074,512,1
31,512,241,5241,109315,512,1
32,512,241,5555,108537,512,1
33,512,241,5426,108259,512,1
34,512,240,5130,108000,512,1
35,512,241,5130,108278,512,1
36,512,241,5129,108240,512,1
37,512,241,5222,108166,512,1
38,512,241,5130,108185,512,1
39,512,223,5203,108167,512,1
40,512,241,5092,107519,512,1
41,512,222,5130,108371,512,1
42,512,222,5259,108148,512,1
43,512,241,5111,108518,512,1
44,512,241,5185,107982,512,1
45,512,222,5222,108223,512,1
46,512,222,5148,108481,512,1
47,512,241,5278,108444,512,1
48,512,241,5204,108537,512,1
49,512,222,5537,108908,512,1
50,512,241,5222,108667,512,1
51,512,222,5093,107685,512,1
52,512,240,5112,108000,512,1
53,512,241,5222,108185,512,1
54,512,241,5185,108260,512,1
55,512,241,5426,108167,512,1
56,512,222,5222,107889,512,1
57,512,240,5185,108111,512,1
58,512,222,5148,107981,512,1
59,512,223,5222,114834,512,1
60,512,241,5166,115371,512,1
