seq,payload_bytes,build_ns,sendto_ns,rtt_ns,rx_len,ok
197,768,278,5277,128629,768,1
198,768,315,5463,128426,768,1
199,768,297,5296,128518,768,1
200,768,297,5296,128666,768,1
201,768,296,5278,128426,768,1
202,768,297,5277,129500,768,1
203,768,315,5296,129204,768,1
204,768,296,5370,128130,768,1
205,768,296,5352,128148,768,1
206,768,296,5315,128481,768,1
207,768,296,5333,128519,768,1
208,768,296,5445,128796,768,1
209,768,296,5296,127871,768,1
210,768,297,5296,128278,768,1
211,768,278,5278,128592,768,1
212,768,296,5259,128278,768,1
213,768,297,5277,127963,768,1
214,768,296,5278,128722,768,1
215,768,296,5278,128130,768,1
216,768,296,5278,128314,768,1
217,768,297,5296,128481,768,1
218,768,296,5260,127814,768,1
219,768,296,5278,128740,768,1
220,768,277,5297,128815,768,1
221,768,296,5259,128760,768,1
222,768,296,5315,128000,768,1
223,768,296,5278,128407,768,1
224,768,296,5519,128537,768,1
225,768,296,5278,128092,768,1
226,768,296,5260,128537,768,1
227,768,278,5259,128445,768,1
228,768,296,5278,128333,768,1
229,768,297,5277,128666,768,1
230,768,296,5297,128241,768,1
231,768,278,5278,128426,768,1
232,768,296,5278,128149,768,1
233,768,278,5296,128334,768,1
234,768,296,5297,128463,768,1
235,768,297,5259,128759,768,1
236,768,296,5296,128778,768,1
237,768,296,5315,128482,768,1
238,768,296,5296,128037,768,1
239,768,296,5297,128592,768,1
240,768,296,5500,128537,768,1
241,768,296,5352,128352,768,1
242,768,296,5241,128315,768,1
243,768,315,5260,128741,768,1
244,768,296,5278,128074,768,1
245,768,296,5315,128500,768,1
246,768,296,5352,128352,768,1
247,768,296,5278,127982,768,1
248,768,296,5296,128889,768,1
249,768,297,5277,128259,768,1
250,768,297,5296,128259,768,1
251,768,315,5315,129241,768,1
252,768,296,5334,128296,768,1
253,768,296,5278,128296,768,1
254,768,296,5315,128222,768,1
255,768,297,5333,128815,768,1
256,768,297,5500,128704,768,1
257,768,296,5389,127926,768,1
258,768,278,5296,128259,768,1
259,768,315,5259,129463,768,1
260,768,297,5296,128389,768,1
261,768,296,5278,127833,768,1
262,768,296,5463,128444,768,1
263,768,315,5333,128315,768,1
264,768,296,5278,128648,768,1
265,768,296,5241,129000,768,1
266,768,297,5277,128370,768,1
267,768,315,5259,128518,768,1
268,768,315,5222,127945,768,1
269,768,277,5278,128351,768,1
270,768,296,5278,129833,768,1
271,768,315,5314,129148,768,1
272,768,296,5482,128945,768,1
273,768,296,5389,128500,768,1
274,768,278,5370,128481,768,1
275,768,315,6148,135333,768,1
276,768,315,10907,136241,768,1
277,768,314,6074,129037,768,1
278,768,296,5482,128334,768,1
279,768,296,5315,128148,768,1
280,768,278,5315,128685,768,1
281,768,297,5278,128296,768,1
282,768,315,5278,128722,768,1
283,768,296,5278,128703,768,1
284,768,315,5278,129592,768,1
285,768,296,5556,128037,768,1
286,768,297,5296,128407,768,1
287,768,314,5315,128667,768,1
288,768,296,5537,129240,768,1
289,768,296,5389,128537,768,1
290,768,296,5296,128408,768,1
291,768,296,5315,128593,768,1
292,768,296,5297,128722,768,1
293,768,296,5315,128370,768,1
294,768,296,5260,127981,768,1
295,768,296,5297,128129,768,1
296,768,315,5277,128426,768,1
297,768,296,5315,128426,768,1
298,768,296,5315,127982,768,1
299,768,296,5333,128593,768,1
300,768,296,5334,128574,768,1
301,768,297,5314,128352,768,1
302,768,296,5315,128778,768,1
303,768,296,5408,128592,768,1
304,768,296,5482,128833,768,1
305,768,296,5408,128963,768,1
306,768,297,5333,128167,768,1
307,768,297,5407,128389,768,1
308,768,296,5463,128889,768,1
309,768,296,5370,128241,768,1
310,768,297,5314,128278,768,1
311,768,297,5277,128037,768,1
312,768,296,5333,128278,768,1
313,768,296,5352,128389,768,1
314,768,296,5333,128722,768,1
315,768,296,5389,129370,768,1
316,768,297,5388,128981,768,1
317,768,296,5315,127833,768,1
318,768,314,5260,128556,768,1
319,768,297,5315,128333,768,1
320,768,296,5482,128574,768,1
321,768,296,5389,128722,768,1
322,768,296,5333,128870,768,1
323,768,296,5315,128370,768,1
324,768,297,5296,128518,768,1
325,768,296,5278,128037,768,1
326,768,315,5482,128611,768,1
327,768,296,5315,128260,768,1
328,768,315,5278,128167,768,1
329,768,296,5315,128149,768,1
330,768,297,5407,128685,768,1
331,768,296,5333,128908,768,1
332,768,296,5352,129000,768,1
333,768,296,5333,128982,768,1
334,768,296,5352,128630,768,1
335,768,296,5389,129019,768,1
336,768,297,5518,128926,768,1
337,768,296,5333,128556,768,1
338,768,296,5352,130370,768,1
339,768,296,5370,128759,768,1
340,768,296,5333,128704,768,1
341,768,296,5370,128519,768,1
342,768,296,5315,129074,768,1
343,768,296,5315,128630,768,1
344,768,297,5389,128611,768,1
345,768,315,5314,128723,768,1
346,768,297,5333,129092,768,1
347,768,296,5444,128685,768,1
348,768,315,5315,128777,768,1
349,768,296,5352,128185,768,1
350,768,297,5333,128889,768,1
351,768,296,5334,128315,768,1
352,768,296,5500,128518,768,1
353,768,315,5314,127945,768,1
354,768,296,5333,128204,768,1
355,768,296,5315,128722,768,1
356,768,296,5370,129259,768,1
357,768,296,5315,128037,768,1
358,768,296,5259,128407,768,1
359,768,297,5296,128407,768,1
360,768,297,5277,128222,768,1
361,768,296,5278,128371,768,1
362,768,314,5315,128611,768,1
363,768,296,5315,128129,768,1
364,768,296,5278,128778,768,1
365,768,296,5297,128296,768,1
366,768,296,5333,128333,768,1
367,768,296,5315,128574,768,1
368,768,296,5500,128963,768,1
369,768,296,5352,128574,768,1
370,768,314,5223,128130,768,1
371,768,296,5296,128445,768,1
372,768,296,5278,128519,768,1
373,768,277,5334,128889,768,1
374,768,297,5296,128129,768,1
375,768,296,5315,128167,768,1
376,768,296,5296,128519,768,1
377,768,297,5352,128278,768,1
378,768,296,5371,128277,768,1
379,768,314,5297,128241,768,1
380,768,296,5297,128352,768,1
381,768,297,5333,128889,768,1
382,768,296,5315,128759,768,1
383,768,296,5296,128241,768,1
384,768,296,5500,129129,768,1
385,768,296,5352,128408,768,1
386,768,296,5296,128500,768,1
387,768,296,5315,128111,768,1
388,768,296,5278,128277,768,1
389,768,296,5334,128648,768,1
390,768,314,5463,128889,768,1
391,768,296,5296,128111,768,1
392,768,296,5278,128000,768,1
393,768,297,5315,128352,768,1
394,768,314,5352,128278,768,1
395,768,296,5296,128519,768,1
396,768,296,5297,128129,768,1
397,768,296,5297,128481,768,1
398,768,296,5296,128315,768,1
399,768,315,5296,129296,768,1
400,768,297,5463,128278,768,1
401,768,297,5315,128907,768,1
402,768,296,5260,128037,768,1
403,768,296,5315,128037,768,1
404,768,296,5278,128074,768,1
405,768,297,5388,128685,768,1
406,768,297,5296,129333,768,1
407,768,296,5333,128834,768,1
408,768,296,5297,128870,768,1
409,768,296,5334,128407,768,1
410,768,278,5408,128426,768,1
411,768,315,5278,128185,768,1
412,768,296,6000,134500,768,1
413,768,315,9259,135260,768,1
414,768,296,6093,129463,768,1
415,768,296,5445,128722,768,1
416,768,296,5556,128925,768,1
417,768,296,5333,127963,768,1
418,768,297,5315,128703,768,1
419,768,296,5333,128296,768,1
420,768,296,5315,128500,768,1
421,768,315,5334,128833,768,1
422,768,315,5296,128463,768,1
423,768,297,5314,128722,768,1
424,768,296,5426,128574,768,1
425,768,296,5371,128481,768,1
426,768,296,5334,128092,768,1
427,768,296,5352,128260,768,1
428,768,278,5389,128167,768,1
429,768,278,5352,128852,768,1
430,768,296,5407,127815,768,1
431,768,296,5296,128111,768,1
432,768,278,5537,128389,768,1
433,768,297,5351,128259,768,1
434,768,296,5352,128186,768,1
435,768,296,5259,128445,768,1
436,768,296,5371,128185,768,1
437,768,296,5334,128740,768,1
438,768,296,5334,128166,768,1
439,768,296,5297,128611,768,1
440,768,296,5482,129018,768,1
441,768,296,5352,128797,768,1
442,768,297,5333,128667,768,1
