seq,payload_bytes,build_ns,sendto_ns,rtt_ns,rx_len,ok
0,1440,740,29778,207129,1440,1
1,1440,463,7703,169314,1440,1
2,1440,463,5648,167037,1440,1
3,1440,463,6000,166611,1440,1
4,1440,463,5666,166556,1440,1
5,1440,482,5500,166833,1440,1
6,1440,481,6149,166888,1440,1
7,1440,463,5518,166093,1440,1
8,1440,481,5408,167074,1440,1
9,1440,463,5500,167037,1440,1
10,1440,463,5518,166592,1440,1
11,1440,482,5444,166167,1440,1
12,1440,482,5426,165833,1440,1
13,1440,463,5426,166333,1440,1
14,1440,481,5593,167889,1440,1
15,1440,463,5444,166574,1440,1
16,1440,482,5462,166222,1440,1
17,1440,463,5444,165611,1440,1
18,1440,463,5666,166000,1440,1
19,1440,463,5555,166667,1440,1
20,1440,463,5352,165944,1440,1
21,1440,463,5500,166074,1440,1
22,1440,482,5351,166852,1440,1
23,1440,481,5519,165834,1440,1
24,1440,463,5518,166500,1440,1
25,1440,463,5389,165759,1440,1
26,1440,463,5556,166314,1440,1
27,1440,463,5519,166241,1440,1
28,1440,463,5519,165926,1440,1
29,1440,463,5703,166241,1440,1
30,1440,481,5648,166519,1440,1
31,1440,463,5555,166296,1440,1
32,1440,463,5389,165741,1440,1
33,1440,481,5426,166167,1440,1
34,1440,463,5352,166204,1440,1
35,1440,463,5408,166204,1440,1
36,1440,463,5371,166074,1440,1
37,1440,463,5370,165760,1440,1
38,1440,463,5444,166407,1440,1
39,1440,463,5370,165667,1440,1
40,1440,463,5648,166167,1440,1
41,1440,463,5426,166278,1440,1
42,1440,463,5352,166093,1440,1
43,1440,463,5760,166278,1440,1
44,1440,463,5426,165944,1440,1
45,1440,463,5500,165648,1440,1
46,1440,463,5482,166315,1440,1
47,1440,463,5463,165870,1440,1
48,1440,463,5426,166315,1440,1
49,1440,481,5389,165722,1440,1
50,1440,463,5314,165370,1440,1
51,1440,463,5371,166852,1440,1
52,1440,463,5500,165888,1440,1
53,1440,463,29963,190259,1440,1
54,1440,463,5889,166519,1440,1
55,1440,462,5834,166389,1440,1
56,1440,463,5482,166537,1440,1
57,1440,463,5463,166204,1440,1
58,1440,463,5703,165963,1440,1
59,1440,463,5426,166629,1440,1
60,1440,463,5463,165796,1440,1
61,1440,463,5463,166055,1440,1
62,1440,481,5389,166037,1440,1
63,1440,463,5444,165889,1440,1
64,1440,463,5537,166037,1440,1
65,1440,463,5389,166315,1440,1
66,1440,482,5370,165944,1440,1
67,1440,463,5333,165778,1440,1
68,1440,463,5370,165574,1440,1
69,1440,463,5426,166463,1440,1
70,1440,481,5352,165962,1440,1
71,1440,463,5389,166352,1440,1
72,1440,482,5463,166000,1440,1
73,1440,463,5352,165723,1440,1
74,1440,481,5482,166149,1440,1
75,1440,482,5389,166055,1440,1
76,1440,463,5500,167852,1440,1
77,1440,482,5889,167482,1440,1
78,1440,481,5630,167000,1440,1
79,1440,463,5556,166777,1440,1
80,1440,463,5593,166333,1440,1
81,1440,463,5630,167074,1440,1
82,1440,463,5500,166704,1440,1
83,1440,481,5463,166315,1440,1
84,1440,463,5556,167185,1440,1
85,1440,463,5500,166389,1440,1
86,1440,463,5537,166463,1440,1
87,1440,482,5500,166537,1440,1
88,1440,463,5519,166185,1440,1
89,1440,463,5463,166351,1440,1
90,1440,463,5481,167297,1440,1
91,1440,463,5445,166389,1440,1
92,1440,481,5445,166519,1440,1
93,1440,463,5462,167019,1440,1
94,1440,463,5500,166518,1440,1
95,1440,463,5574,166148,1440,1
96,1440,463,5537,167204,1440,1
97,1440,463,5482,166111,1440,1
98,1440,463,5481,166260,1440,1
99,1440,463,5426,166815,1440,1
100,1440,463,5462,167074,1440,1
101,1440,463,5593,166463,1440,1
102,1440,463,5500,166667,1440,1
103,1440,463,5463,166592,1440,1
104,1440,463,5871,166722,1440,1
105,1440,463,5407,166833,1440,1
106,1440,463,5444,166260,1440,1
107,1440,462,5426,166222,1440,1
108,1440,463,5463,166629,1440,1
109,1440,463,5426,166592,1440,1
110,1440,463,5444,166240,1440,1
111,1440,463,5444,166555,1440,1
112,1440,463,5500,166630,1440,1
113,1440,463,5648,166500,1440,1
114,1440,463,5537,166815,1440,1
115,1440,463,5444,166593,1440,1
116,1440,482,5518,166944,1440,1
117,1440,463,5500,166537,1440,1
118,1440,463,5500,166389,1440,1
119,1440,482,5444,166574,1440,1
120,1440,463,5518,166704,1440,1
121,1440,463,5444,166704,1440,1
122,1440,463,5666,166704,1440,1
123,1440,463,5482,166537,1440,1
124,1440,463,5481,166611,1440,1
125,1440,463,5519,166666,1440,1
126,1440,482,5500,166777,1440,1
127,1440,463,5426,166629,1440,1
128,1440,463,5500,167203,1440,1
129,1440,463,5500,166629,1440,1
130,1440,463,6555,170463,1440,1
131,1440,463,5852,167555,1440,1
132,1440,463,5648,167000,1440,1
133,1440,463,5555,167260,1440,1
134,1440,481,5685,167870,1440,1
135,1440,463,5556,166555,1440,1
136,1440,482,5537,166685,1440,1
137,1440,463,5444,167148,1440,1
138,1440,481,5519,167037,1440,1
139,1440,463,5518,166814,1440,1
140,1440,463,5500,167519,1440,1
141,1440,463,5500,167056,1440,1
142,1440,463,5500,166945,1440,1
143,1440,482,5463,167222,1440,1
144,1440,463,5519,167389,1440,1
145,1440,463,5500,166962,1440,1
146,1440,463,5797,167129,1440,1
147,1440,482,5518,167037,1440,1
148,1440,482,5592,166944,1440,1
149,1440,463,5778,166741,1440,1
150,1440,463,5574,167686,1440,1
151,1440,463,5481,166426,1440,1
152,1440,463,5796,167260,1440,1
153,1440,463,5426,166426,1440,1
154,1440,463,5537,166204,1440,1
155,1440,463,5463,166445,1440,1
156,1440,463,5537,167296,1440,1
157,1440,463,5500,166777,1440,1
158,1440,482,5537,166556,1440,1
159,1440,463,5482,167222,1440,1
160,1440,463,5667,166537,1440,1
161,1440,463,5518,166926,1440,1
162,1440,463,5592,167537,1440,1
163,1440,463,5500,166833,1440,1
164,1440,463,5592,166612,1440,1
165,1440,463,5500,167463,1440,1
166,1440,463,5519,166685,1440,1
167,1440,463,5611,167166,1440,1
168,1440,481,5945,167241,1440,1
169,1440,481,5482,166797,1440,1
170,1440,463,5556,166574,1440,1
171,1440,463,5815,167537,1440,1
172,1440,463,11908,173555,1440,1
173,1440,463,5685,167185,1440,1
174,1440,463,5611,166778,1440,1
175,1440,463,5555,166908,1440,1
176,1440,463,5629,167185,1440,1
177,1440,482,5592,166944,1440,1
178,1440,463,5463,166778,1440,1
179,1440,482,5833,167074,1440,1
180,1440,463,5574,167482,1440,1
181,1440,463,5500,166592,1440,1
182,1440,463,5593,166703,1440,1
183,1440,482,5463,166963,1440,1
184,1440,463,5481,167740,1440,1
185,1440,481,5759,167111,1440,1
186,1440,463,5592,167222,1440,1
187,1440,482,5518,166537,1440,1
188,1440,463,5500,166555,1440,1
189,1440,463,5500,166741,1440,1
190,1440,462,5463,167685,1440,1
191,1440,481,5463,166704,1440,1
192,1440,463,5537,167019,1440,1
193,1440,463,5518,166629,1440,1
194,1440,463,5481,166741,1440,1
195,1440,481,5445,167777,1440,1
196,1440,463,5611,167870,1440,1
197,1440,463,5537,166686,1440,1
198,1440,463,5593,166592,1440,1
199,1440,463,5481,167167,1440,1
200,1440,463,5574,166611,1440,1
201,1440,463,5500,166797,1440,1
202,1440,463,5500,167686,1440,1
203,1440,481,5519,166741,1440,1
204,1440,481,5519,166500,1440,1
205,1440,463,5500,166759,1440,1
206,1440,481,5556,167019,1440,1
207,1440,463,5444,166685,1440,1
208,1440,463,5648,166981,1440,1
209,1440,481,5556,167092,1440,1
210,1440,463,5500,166722,1440,1
211,1440,463,5556,166925,1440,1
212,1440,463,5519,166908,1440,1
213,1440,463,5556,166722,1440,1
214,1440,463,5481,166574,1440,1
215,1440,463,5463,167148,1440,1
216,1440,463,5500,166556,1440,1
217,1440,463,5500,166611,1440,1
218,1440,463,5500,167111,1440,1
219,1440,481,5556,167519,1440,1
220,1440,481,5611,166130,1440,1
221,1440,463,5462,166537,1440,1
222,1440,463,5593,166129,1440,1
223,1440,463,5407,165944,1440,1
224,1440,463,5445,166333,1440,1
225,1440,482,5444,165759,1440,1
226,1440,482,5425,166074,1440,1
227,1440,463,5389,166185,1440,1
228,1440,462,5871,166352,1440,1
229,1440,463,5407,166908,1440,1
230,1440,481,5426,166315,1440,1
231,1440,463,5482,165926,1440,1
232,1440,463,5519,166759,1440,1
233,1440,463,5445,166241,1440,1
234,1440,463,5425,166445,1440,1
235,1440,463,5426,166667,1440,1
236,1440,463,5556,165981,1440,1
237,1440,463,5537,166111,1440,1
238,1440,463,5444,166204,1440,1
239,1440,481,5352,165648,1440,1
240,1440,463,5445,166666,1440,1
241,1440,463,5463,165889,1440,1
242,1440,463,5444,166111,1440,1
243,1440,463,5463,345444,1440,1
244,1440,500,14481,178611,1440,1
245,1440,482,6185,167981,1440,1
246,1440,463,5741,167537,1440,1
247,1440,463,5666,167574,1440,1
248,1440,463,5592,167148,1440,1
249,1440,463,5611,166481,1440,1
250,1440,462,5575,166926,1440,1
251,1440,482,5629,167574,1440,1
252,1440,463,5593,167611,1440,1
253,1440,463,5611,166777,1440,1
254,1440,463,5778,167500,1440,1
255,1440,463,5611,166630,1440,1
256,1440,463,5630,166870,1440,1
257,1440,463,5704,167333,1440,1
258,1440,482,7944,171574,1440,1
259,1440,481,5741,166926,1440,1
260,1440,482,5722,167092,1440,1
261,1440,463,5629,166926,1440,1
